Ref..,Items,Acceptable.Key.s,Notes,Domain,Construct,Subconstruct,Level,grade,example,type,title,alternative,SkillVariant,Skill
R1.2.1_E,What color are the flowers? ,Red ,"The information is not prominent and the detail of the flower color is found within competing information, as two colors are mentioned.",R,1,2,E,2,1,Information (Description),Van,0,a,1
R1.2.1_M,What does Van draw?  ,Tree / big tree / (big) green tree / (big) green tree with flowers,The description of what Van drew is not in a prominent position but is adjacent to the matched word and there is no competing information. ,R,1,2,M,2,1,Information (Description),Van,0,a,1
R1.2.1_P,Where is Van? ,At school ,The information is in a prominent position in the first sentence and can be found by direct word matching.,R,1,2,P,2,1,Information (Description),Van,0,a,1
R1.2.1_E,When does Maya sweep the yard? ,After school (before her snack also acceptable) ,"The information, “after school,” is not in a prominent position and although it can be found by direct word matching there is some competing information in the sequence of when the events happened, as she then has a snack.",R,1,2,E,2,2,Information (Description),Maya,0,a,1
R1.2.1_M,What does Maya's mum like?,(Having) a nice clean yard,"The key is a direct, adjacent word match for a single piece of explicit information with no competing information. It is at the end of the text, which makes it less prominent than the beginning.",R,1,2,M,2,2,Information (Description),Maya,0,a,1
R1.2.1_M,What does Maya do after school?,Sweeps the yard / has a snack,"The information is a direct, adjacent word match in a position that is not prominent but has no competing information.",R,1,2,M,2,2,Information (Description),Maya,1,a,1
R1.2.1_E,How can you see the pippi? ,If you open the shell / look inside the shell,"The information is located by direct word matching but is not prominent; there is some competing information, as “shut” and “open” are both mentioned.",R,1,2,E,2,3,Information,The Pippi,0,a,1
R1.2.1_M,What lives in the shell? ,A pippi / an animal ,The information appears in the middle of the text and so is not prominent but it can be located by direct word matching. There is no competing information.,R,1,2,M,2,3,Information,The Pippi,0,a,1
R1.2.1_P,What is this? ,A pippi / a shell ,The information describing the image appears in the first sentence and/or in the title and is positioned adjacent to the image in the text without competing information.,R,1,2,P,2,3,Information,The Pippi,0,a,1
R1.2.1_E,How was Abdul feeling at the beginning? Copy two of the words.,"Any two from cross, tired, and hungry","The information is found in multiple pieces of explicit information and is adjacent to the matched word “feeling.” There is limited competing information, as his feelings change to “happy” by the end of the text. ",R,1,2,E,3,1,Story,The Mango,0,a,1
R1.2.1_M,What was the day like? ,Hot ,The information appears adjacent to the matched word and the limited competing information is that it was “a hot day” but “cool” under the tree.,R,1,2,M,3,1,Story,The Mango,0,a,1
